date	LOS F	LOS E	LOS D	LOS C	LOS B	LOS A	CAPACITY	DEMAND
2015	965	161	161	193	322	3198	980	1287
2016	982	164	164	196	327	3166	980	1310
2017	998	166	166	200	333	3136	980	1331
2018	1017	170	170	203	339	3101	980	1356
2019	1037	173	173	207	346	3064	980	1383
2020	751	125	125	150	250	3599	980	1001
2021	765	128	128	153	255	3571	980	1021
2022	781	130	130	156	260	3543	980	1041
2023	796	133	133	159	265	3514	980	1061
2024	812	135	135	162	271	3484	980	1083
2025	1166	194	194	233	389	2823	2111	1555
2026	1190	198	198	238	397	2779	2111	1587
2027	1214	202	202	243	405	2734	2282	1619
2028	1239	206	206	248	413	2688	2282	1652
2029	1264	211	211	253	421	2640	2282	1685
2030	1290	215	215	258	430	2592	2282	1720
2031	1340	223	223	268	447	2499	2282	1787
2032	1391	232	232	278	464	2403	2282	1855
2033	1444	241	241	289	481	2304	2282	1926
2034	1499	250	250	300	500	2202	2282	1998
2035	1555	259	259	311	518	2098	2282	2073
2036	1613	269	269	323	538	1990	2282	2150
2037	1672	279	279	334	557	1879	2282	2230
2038	1733	289	289	347	578	1764	2482	2311
2039	1796	299	299	359	599	1647	2482	2395
2040	1861	310	310	372	620	1526	2482	2482
2041	1887	315	315	377	629	1477	2482	2516
2042	1914	319	319	383	638	1428	2482	2552
2043	1972	329	329	394	657	1318	2482	2630
2044	2033	339	339	407	678	1206	2482	2710
